name,latitude,longitude,valor_medio
Reboleira,38.752222,-9.224722,1350
Amadora Este,38.757778,-9.218056,1090
Alfornelos,38.760278,-9.205000,1153
Pontinha,38.761389,-9.196667,1250
Carnide,38.758611,-9.192500,1486
Colégio Militar/Luz,38.752500,-9.188611,1540
Alto dos Moinhos,38.749444,-9.179444,2420
Laranjeiras,38.748056,-9.171944,2584
Jardim Zoológico,38.741944,-9.168611,1600
Praça de Espanha,38.737222,-9.159444,3125
São Sebastião,38.734167,-9.153611,3295
Parque,38.729167,-9.150000,2638
Marquês de Pombal,38.724167,-9.149167,4250
Rato,38.719722,-9.155556,2823
Restauradores,38.715000,-9.141389,3900
Cais do Sodré,38.705278,-9.142500,3825
Telheiras,38.760556,-9.165000,1600
Cidade Universitária,38.751667,-9.158611,5025
Entre Campos,38.747778,-9.148611,3000
Campo Pequeno,38.741389,-9.146667,2725
Saldanha,38.734167,-9.145000,2300
Picoas,38.731944,-9.146944,2300
Aeroporto,38.768611,-9.128611,1075
Moscavide,38.775000,-9.102500,3200
Encarnação,38.775278,-9.101111,1425
Oriente,38.767222,-9.100278,2238
Cabo Ruivo,38.762500,-9.103889,1725
Olivais,38.760000,-9.112222,1575
Chelas,38.754167,-9.113611,1650
Bela Vista,38.746667,-9.116944,1650
Alvalade,38.753333,-9.143889,2073
Roma,38.748889,-9.141389,2648
Areeiro,38.742222,-9.134167,3575
Olaias,38.739167,-9.123889,1800
Alameda,38.733333,-9.116944,1618
Arroios,38.733056,-9.133889,1728
Anjos,38.726111,-9.134722,3225
Intendente,38.722500,-9.135000,1775
Rossio,38.713611,-9.138056,4650
Terreiro do Paço,38.706389,-9.135278,3700
Santa Apolónia,38.712500,-9.123333,2950
